G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Wed, Oct 26, 2016",10:30p,,Box Score,,Houston Rockets,W,,120,114,1,0,W 1,"18,997",2:27,
2,"Fri, Oct 28, 2016",9:00p,,Box Score,@,Utah Jazz,L,,89,96,1,1,L 1,"19,911",2:29,
3,"Sun, Oct 30, 2016",7:00p,,Box Score,@,Oklahoma City Thunder,L,,96,113,1,2,L 2,"18,203",2:12,
4,"Tue, Nov 1, 2016",7:00p,,Box Score,@,Indiana Pacers,L,,108,115,1,3,L 3,"15,348",2:31,
5,"Wed, Nov 2, 2016",7:30p,,Box Score,@,Atlanta Hawks,W,,123,116,2,3,W 1,"13,800",2:20,
6,"Fri, Nov 4, 2016",10:30p,,Box Score,,Golden State Warriors,W,,117,97,3,3,W 2,"18,997",2:19,
7,"Sun, Nov 6, 2016",9:30p,,Box Score,,Phoenix Suns,W,,119,108,4,3,W 3,"18,997",2:27,
8,"Tue, Nov 8, 2016",10:30p,,Box Score,,Dallas Mavericks,L,,97,109,4,4,L 1,"18,997",2:04,
9,"Thu, Nov 10, 2016",10:30p,,Box Score,@,Sacramento Kings,W,,101,91,5,4,W 1,"17,608",2:25,
10,"Sat, Nov 12, 2016",7:00p,,Box Score,@,New Orleans Pelicans,W,,126,99,6,4,W 2,"17,138",2:02,
11,"Sun, Nov 13, 2016",7:00p,,Box Score,@,Minnesota Timberwolves,L,,99,125,6,5,L 1,"14,432",2:21,
12,"Tue, Nov 15, 2016",10:30p,,Box Score,,Brooklyn Nets,W,,125,118,7,5,W 1,"18,426",2:17,
13,"Fri, Nov 18, 2016",10:30p,,Box Score,,San Antonio Spurs,L,,107,116,7,6,L 1,"18,997",2:16,
14,"Sun, Nov 20, 2016",9:30p,,Box Score,,Chicago Bulls,L,,110,118,7,7,L 2,"18,997",2:16,
15,"Tue, Nov 22, 2016",10:30p,,Box Score,,Oklahoma City Thunder,W,,111,109,8,7,W 1,"18,997",2:13,
16,"Wed, Nov 23, 2016",10:30p,,Box Score,@,Golden State Warriors,L,,106,149,8,8,L 1,"19,596",2:12,
17,"Fri, Nov 25, 2016",10:30p,,Box Score,,Golden State Warriors,L,,85,109,8,9,L 2,"18,997",2:14,
18,"Sun, Nov 27, 2016",9:30p,,Box Score,,Atlanta Hawks,W,,109,94,9,9,W 1,"18,997",2:04,
19,"Tue, Nov 29, 2016",8:00p,,Box Score,@,New Orleans Pelicans,L,,88,105,9,10,L 1,"14,024",2:06,
20,"Wed, Nov 30, 2016",8:00p,,Box Score,@,Chicago Bulls,W,,96,90,10,10,W 1,"21,773",2:30,
21,"Fri, Dec 2, 2016",7:30p,,Box Score,@,Toronto Raptors,L,,80,113,10,11,L 1,"19,800",2:07,
22,"Sat, Dec 3, 2016",8:00p,,Box Score,@,Memphis Grizzlies,L,,100,103,10,12,L 2,"17,017",2:19,
23,"Mon, Dec 5, 2016",10:30p,,Box Score,,Utah Jazz,L,,101,107,10,13,L 3,"18,279",2:15,
24,"Wed, Dec 7, 2016",8:00p,,Box Score,@,Houston Rockets,L,,95,134,10,14,L 4,"16,141",2:11,
25,"Fri, Dec 9, 2016",10:30p,,Box Score,,Phoenix Suns,L,,115,119,10,15,L 5,"18,997",2:26,
26,"Sun, Dec 11, 2016",9:30p,,Box Score,,New York Knicks,L,,112,118,10,16,L 6,"18,997",2:11,
