No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
2,Lonzo Ball,PG,06-Jun,190,27-Oct-97,us US,1,UCLA
11,Michael Beasley,PF,09-Jun,235,09-Jan-89,us US,10,Kansas State
17,Isaac Bonga,PG,08-Jun,180,08-Nov-99,de DE,R,
35,Reggie Bullock,SG,06-Jun,205,16-Mar-91,us US,5,UNC
1,Kentavious Caldwell-Pope,SG,05-Jun,204,18-Feb-93,us US,5,Georgia
4,Alex Caruso,PG,05-Jun,186,28-Feb-94,us US,1,Texas A&M
5,Tyson Chandler,C,7-0,235,02-Oct-82,us US,17,
3,Josh Hart,SG,04-Jun,215,06-Mar-95,us US,1,Villanova
20,Andre Ingram,SG,03-Jun,190,19-Nov-85,us US,1,American University
14,Brandon Ingram,SF,08-Jun,190,02-Sep-97,us US,2,Duke
23,LeBron James,SF,09-Jun,250,30-Dec-84,us US,15,
10,Jemerrio Jones,SF,05-Jun,174,09-Apr-95,us US,R,"Hill College, New Mexico State"
0,Kyle Kuzma,PF,09-Jun,221,24-Jul-95,us US,1,Utah
10,Scott Machado,PG,01-Jun,205,08-Jun-90,us US,1,Iona College
7,JaVale McGee,C,7-0,270,19-Jan-88,us US,10,Nevada
31,Mike Muscala,PF,10-Jun,240,01-Jul-91,us US,5,Bucknell
10,Svi Mykhailiuk,SF,07-Jun,205,10-Jun-97,ua UA,R,Kansas
9,Rajon Rondo,PG,01-Jun,180,22-Feb-86,us US,12,Kentucky
6,Lance Stephenson,SG,06-Jun,230,05-Sep-90,us US,8,Cincinnati
15,Moritz Wagner,C,11-Jun,245,26-Apr-97,de DE,R,Michigan
19,Johnathan Williams,C,09-Jun,228,22-May-95,us US,R,"Missouri, Gonzaga"
40,Ivica Zubac,C,7-0,240,18-Mar-97,ba BA,2,
