Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1,LeBron James,35,67,67,2316,643,1303,0.493,148,425,0.348,495,878,0.564,0.55,264,381,0.693,66,459,525,684,78,36,261,118,1698,13,"MVP-2,AS,NBA1"
2,Anthony Davis,26,62,62,2131,551,1096,0.503,72,218,0.33,479,878,0.546,0.536,444,525,0.846,142,435,577,200,91,143,154,156,1618,0,"MVP-6,DPOY-2,AS,NBA1,DEF1"
3,Kentavious Caldwell-Pope,26,69,26,1762,237,507,0.467,92,239,0.385,145,268,0.541,0.558,79,102,0.775,38,104,142,111,57,14,62,128,645,0,
4,Danny Green,32,68,68,1687,197,474,0.416,120,327,0.367,77,147,0.524,0.542,33,48,0.688,51,174,225,91,85,32,63,136,547,0,
5,Kyle Kuzma,24,61,9,1526,291,668,0.436,86,272,0.316,205,396,0.518,0.5,114,155,0.735,52,221,273,80,28,26,91,126,782,0,
6,Dwight Howard,34,69,2,1306,202,277,0.729,3,5,0.6,199,272,0.732,0.735,110,214,0.514,172,335,507,45,31,79,84,222,517,0,6MOY-9
7,Avery Bradley,29,49,44,1186,170,383,0.444,63,173,0.364,107,210,0.51,0.526,20,24,0.833,18,97,115,63,43,5,47,110,423,0,
8,Alex Caruso,25,64,2,1175,120,291,0.412,40,120,0.333,80,171,0.468,0.481,69,94,0.734,17,106,123,124,70,18,53,98,349,0,
9,JaVale McGee,32,68,68,1130,195,306,0.637,3,6,0.5,192,300,0.64,0.642,53,82,0.646,125,265,390,37,36,94,55,159,446,0,
10,Rajon Rondo,33,48,3,984,137,328,0.418,41,125,0.328,96,203,0.473,0.48,27,41,0.659,23,119,142,240,40,2,91,58,342,0,
11,Quinn Cook,26,44,1,508,91,214,0.425,31,85,0.365,60,129,0.465,0.498,11,14,0.786,11,40,51,49,12,2,33,27,224,0,
12,Troy Daniels,28,41,0,456,62,158,0.392,40,112,0.357,22,46,0.478,0.519,10,16,0.625,12,34,46,14,8,3,9,30,174,0,
13,Jared Dudley,34,45,1,364,24,60,0.4,18,42,0.429,6,18,0.333,0.55,2,2,1,6,46,52,28,15,3,8,41,68,0,
14,Markieff Morris,30,14,1,199,28,69,0.406,13,39,0.333,15,30,0.5,0.5,5,6,0.833,16,29,45,8,5,6,6,29,74,0,
15,Dion Waiters,28,7,0,165,31,73,0.425,7,30,0.233,24,43,0.558,0.473,14,16,0.875,2,11,13,17,4,4,13,16,83,0,
16,Talen Horton-Tucker,19,6,1,81,14,30,0.467,4,13,0.308,10,17,0.588,0.533,2,4,0.5,2,5,7,6,8,1,6,10,34,0,
17,J.R. Smith,34,6,0,79,7,22,0.318,1,11,0.091,6,11,0.545,0.341,2,2,1,0,5,5,3,1,0,4,5,17,0,
18,Kostas Antetokounmpo,22,5,0,20,3,3,1,0,0,,3,3,1,1,1,2,0.5,2,1,3,2,0,0,1,2,7,0,
19,Devontae Cacok,23,1,0,9,3,6,0.5,0,0,,3,6,0.5,0.5,0,0,,2,3,5,1,0,0,0,0,6,0,
20,Zach Norvell,22,2,0,5,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,
,Team Totals,,71,71,17089,3006,6269,0.48,782,2242,0.349,2224,4027,0.552,0.542,1260,1728,0.729,757,2490,3247,1803,612,468,1041,1471,8054,13,
