No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
14,Colin Castleton,C,11-Jun,250,May 25 2000,us US,R,Michigan Florida,castlco01
10,Max Christie,SG,06-Jun,190,February 10 2003,us US,1,Michigan State,chrisma02
3,Anthony Davis,C,10-Jun,253,March 11 1993,us US,11,Kentucky,davisan02
26,Spencer Dinwiddie,PG,05-Jun,215,April 6 1993,us US,9,Colorado,dinwisp01
17,Alex Fudge,SF,08-Jun,200,May 6 2003,us US,R,LSU Florida,fudgeal01
20,Harry Giles,C,11-Jun,240,April 22 1998,us US,3,Duke,gilesha01
28,Rui Hachimura,PF,08-Jun,230,February 8 1998,jp JP,4,Gonzaga,hachiru01
11,Jaxson Hayes,C,7-0,220,May 23 2000,us US,4,Texas,hayesja02
55,D'Moi Hodge,SG,04-Jun,188,December 20 1998,vg VG,R,State College of Florida Manatee-Sarasota Cleveland State University Missouri,hodgedm01
0,Jalen Hood-Schifino,SG,06-Jun,215,June 19 2003,us US,R,Indiana,hoodsja01
23,LeBron James,PF,09-Jun,250,December 30 1984,us US,20,,jamesle01
21,Maxwell Lewis,SF,07-Jun,195,July 27 2002,us US,R,Pepperdine,lewisma05
4,Skylar Mays,SG,04-Jun,205,September 5 1997,us US,3,LSU,mayssk01
12,Taurean Prince,PF,06-Jun,218,March 22 1994,us US,7,Baylor,princta02
15,Austin Reaves,SG,05-Jun,206,May 29 1998,us US,2,Wichita State Oklahoma,reaveau01
5,Cam Reddish,SF,08-Jun,218,September 1 1999,us US,4,Duke,reddica01
1,D'Angelo Russell,PG,03-Jun,193,February 23 1996,us US,8,Ohio State,russeda01
2,Jarred Vanderbilt,PF,08-Jun,214,April 3 1999,us US,5,Kentucky,vandeja01
7,Gabe Vincent,PG,03-Jun,195,June 14 1996,us US,4,UC Santa Barbara,vincega01
20,Dylan Windler,SF,06-Jun,196,September 22 1996,us US,3,Belmont,windldy01
35,Christian Wood,PF,08-Jun,214,September 27 1995,us US,7,UNLV,woodch01
